documento_id,classificacao_id,sha256,caminho_em_disco,tamanho_bytes
DOC-C07-001,C07,0660399c86e28e4cbf5c614890e1aa2e83a78d4ef6e65dc20842d38a5444e1c9,DADOS E EVIDENCIAS /EXECUTAR_Editorial_Quality_Assurance_Fluent.html,30031
DOC-C07-002,C07,351a25806207ca6cc1ae5b6aaea7868f5c464949de3faa14517fd9c9656dd92c,DADOS E EVIDENCIAS /MATRIZ_GESTAO_PROJETOS_X_TDAH_ONE_PAGE_PAISAGEM.html,11607
DOC-C07-003,C07,673b29d38db687f118967269b4e302b2a8ef1c0405dafa6e91bbf2a946b2bb9c,DADOS E EVIDENCIAS /MATRIZ_GESTAO_TDAH_PACOTE/MATRIZ_GESTAO_PROJETOS_X_TDAH_EXTRAIDA.csv,9477
DOC-C07-004,C07,23da316fefcce43baf9aaf78e89fde56d8d672a4439fe25676fc5101d7551ee9,DADOS E EVIDENCIAS /MATRIZ_GESTAO_TDAH_PACOTE/MATRIZ_GESTAO_PROJETOS_X_TDAH_ONE_PAGE.xlsx,14084
DOC-C07-005,C07,ddcad0fab15742a2c220ff149c248fd5fc8c749e02dc64cddf2c0cf86b67f086,DADOS E EVIDENCIAS /MATRIZ_GESTAO_TDAH_PACOTE/SCHEMA_MATRIZ_GESTAO_TDAH_V1.csv,435
DOC-C07-006,C07,f67a8618855fdd6f3a7f98c91d73008f2f3a7d9ac5a6b474db201e7131b21a67,DADOS E EVIDENCIAS /MATRIZ_GESTAO_TDAH_PACOTE/SCHEMA_MATRIZ_GESTAO_TDAH_V1.yaml,884
DOC-C07-007,C07,b1aedb13dff7e58689ecd98e87b9f476396fc4b30f9c77cfd16fc62d616be33c,DADOS E EVIDENCIAS /base_evidencias_tdah_adulto_WAREHOUSE.json,327715
DOC-C07-008,C07,0e89b7c6214df403741da758b1cf6a01b2b23464def6fbecc191d5f3322f72f2,DADOS E EVIDENCIAS /dashboard_sintese_tdah_694_V2.html,500451
DOC-C07-009,C07,c03c2fb217ddd13714a59dfa828ac26018429e68376c1d4d9b0f438c2f2005ee,DADOS E EVIDENCIAS /dashboard_sintese_tdah_694_V3_FINAL_LIGHT__REC-001102.html,545278
DOC-C07-010,C07,28b0c00a8242eb0a07db9607e85f37297a4e55e880f71683cc3a1e29a078df89,DADOS E EVIDENCIAS /✅ ADM-26-21-08.docx,937692
DOC-C04-001,C04,5f4d6034211858d37fad1c3c5bb2a96651ae6972b42ed103ffe16c27e8842730,OPERACOES /Cronograma.md,7627
DOC-C05-001,C05,c49f7bcea3eac6c322b584d1bbae0ab018ae50404f0dbc2b418b25033d0dd253,OPERACOES /Ecossistema .html,347005
DOC-C06-001,C06,da9e2bd6328d9eef7db23bfa27086380148780e179644302bcd2ae908a1c9fa7,OPERACOES /gtm-launch-report.html,30330
DOC-C04-002,C04,b1c6244ec5ec7c54c45efb9d9c89c17a36c2e0488d4a834a635997684a595c2a,OPERACOES /handoffexecutar.txt,17356
DOC-C04-003,C04,11e8a5bfd57534c9ae720d45fd170203ebf39475faa525d5f1adf6cc69631bc7,OPERACOES /plano-semana-a4 2.html,16347
DOC-C04-004,C04,11e8a5bfd57534c9ae720d45fd170203ebf39475faa525d5f1adf6cc69631bc7,OPERACOES /plano-semana-a4 2.html,16347
DOC-C04-005,C04,b4849d7e5ac35dcbbba984de56dd466dc31a5655e7790e1fa7a858459a9f2dd9,OPERACOES /plano-semana-a4.html,23163
DOC-C18-001,C18,6daabe245e5a98184a0b82e24b0cbeda7b39c7a7e351f5bd4f14b7d5c96f3612,PLANO EDITORIAL-PRODUTOS-SERVICOS/.obsidian/snippets/executar-editorial.css,2793
DOC-C18-002,C18,c74b5e487a7f8fb0c0487d4e0f93dc6e06e869ac93f15a572eec404d8cae77f7,PLANO EDITORIAL-PRODUTOS-SERVICOS/00-ABRA-AQUI.md,1005
DOC-C08-001,C08,793544c37734110a810b39506b19d6c83a2e8b9afccba37bd46b9a3600988838,PLANO EDITORIAL-PRODUTOS-SERVICOS/00-CENTRAL/00-MERGULHE-AQUI.md,826
DOC-C08-002,C08,1e119273222a17ed39b6c3b37369d0a3ed42a509ee663aa76d8a3220b42a99d7,PLANO EDITORIAL-PRODUTOS-SERVICOS/00-CENTRAL/00-PAINEL-GERAL.md,1002
DOC-C08-003,C08,61f553bb24e48265dd4ddc9208973033ca3b6bd1eb5ea43a8f6f154097b8713c,PLANO EDITORIAL-PRODUTOS-SERVICOS/00-CENTRAL/01-MAPA-DE-DEPENDENCIAS.md,1052
DOC-C08-004,C08,088bdf2e44d83dccff946de4b0cf297028f8261c1c7f8b6b6c62f4864503eff9,PLANO EDITORIAL-PRODUTOS-SERVICOS/00-CENTRAL/02-REGISTRO-DE-CHAMADAS.md,1051
DOC-C08-005,C08,b700906677a4a38abb70d1811b6c5d5b0f62cae15d5bd51268812b135b480edd,PLANO EDITORIAL-PRODUTOS-SERVICOS/00-CENTRAL/03-REGISTRO-DE-MATERIAIS.md,825
DOC-C08-006,C08,c0a1a923340a8026e2403940ae3d9be2660b9a3963f7bca67e5ed0845e25ccd9,PLANO EDITORIAL-PRODUTOS-SERVICOS/00-CENTRAL/04-REGISTRO-DE-ROTAS.md,729
DOC-C08-007,C08,21a6199b2c01b79a9c8aa4b6b373149fb2527427efecadd3ee915a1948f99c18,PLANO EDITORIAL-PRODUTOS-SERVICOS/00-CENTRAL/05-CRITERIOS-DE-LANCAMENTO.md,674
