folder_id,path,parent_id,status
FS-ROOT-001,.,,ativo
FS-DROP-001,00-dropzone,FS-ROOT-001,ativo
FS-IDX-001,01-master-index,FS-ROOT-001,ativo
FS-BUS-001,10-business,FS-ROOT-001,ativo
FS-PRD-001,20-produtos,FS-ROOT-001,ativo
FS-EDT-001,30-editorial-marketing,FS-ROOT-001,ativo
FS-COM-001,40-comercial-servicos,FS-ROOT-001,ativo
FS-POR-001,50-portfolio-carreira,FS-ROOT-001,ativo
FS-DAT-001,60-dados,FS-ROOT-001,ativo
FS-OPS-001,70-operacao-governanca,FS-ROOT-001,ativo
FS-TEC-001,80-tecnologia-plataformas,FS-ROOT-001,ativo
FS-AST-001,90-assets-compartilhados,FS-ROOT-001,ativo
FS-SEC-001,98-private-pointers,FS-ROOT-001,ativo
FS-ARC-001,99-archive,FS-ROOT-001,ativo
FS-MVP-001,500-saas-mvp,FS-ROOT-001,ativo
FS-DROP-002,00-dropzone/01-xls,FS-DROP-001,ativo
FS-DROP-003,00-dropzone/02-docs,FS-DROP-001,ativo
FS-DROP-004,00-dropzone/03-pdf,FS-DROP-001,ativo
FS-DROP-005,00-dropzone/04-images,FS-DROP-001,ativo
FS-DROP-006,00-dropzone/05-json,FS-DROP-001,ativo
FS-DROP-007,00-dropzone/06-zip,FS-DROP-001,ativo
FS-DROP-008,00-dropzone/07-code,FS-DROP-001,ativo
FS-DROP-009,00-dropzone/08-to-classify,FS-DROP-001,ativo
FS-IDX-002,01-master-index/01-schemas,FS-IDX-001,ativo
FS-IDX-003,01-master-index/02-taxonomies,FS-IDX-001,ativo
FS-IDX-004,01-master-index/03-relations,FS-IDX-001,ativo
FS-IDX-005,01-master-index/04-reports,FS-IDX-001,ativo
FS-BUS-002,10-business/01-planos,FS-BUS-001,ativo
FS-BUS-003,10-business/02-modelo-negocio,FS-BUS-001,ativo
FS-BUS-004,10-business/03-stakeholders,FS-BUS-001,ativo
FS-BUS-005,10-business/04-financeiro,FS-BUS-001,ativo
FS-BUS-006,10-business/05-roadmap,FS-BUS-001,ativo
FS-BUS-007,10-business/06-parcerias,FS-BUS-001,ativo
FS-BUS-008,10-business/07-decisoes,FS-BUS-001,ativo
FS-BUS-009,10-business/08-evidencias,FS-BUS-001,ativo
FS-EXE-001,20-produtos/10-executar-app,FS-PRD-001,ativo
FS-PHY-001,20-produtos/20-produtos-fisicos,FS-PRD-001,ativo
FS-INF-001,20-produtos/30-infoprodutos,FS-PRD-001,ativo
FS-EDT-002,30-editorial-marketing/01-blog,FS-EDT-001,ativo
FS-EDT-003,30-editorial-marketing/02-campanhas,FS-EDT-001,ativo
FS-EDT-004,30-editorial-marketing/03-social,FS-EDT-001,ativo
FS-EDT-005,30-editorial-marketing/04-assets,FS-EDT-001,ativo
FS-EDT-006,30-editorial-marketing/05-cta,FS-EDT-001,ativo
FS-EDT-007,30-editorial-marketing/06-brindes,FS-EDT-001,ativo
FS-EDT-008,30-editorial-marketing/07-buffer,FS-EDT-001,ativo
FS-EDT-009,30-editorial-marketing/08-skills-assets,FS-EDT-001,ativo
FS-COM-002,40-comercial-servicos/01-showroom,FS-COM-001,ativo
FS-COM-003,40-comercial-servicos/02-consultoria,FS-COM-001,ativo
FS-COM-004,40-comercial-servicos/03-work-os,FS-COM-001,ativo
FS-COM-005,40-comercial-servicos/04-propostas,FS-COM-001,ativo
FS-COM-006,40-comercial-servicos/05-clientes,FS-COM-001,ativo
FS-POR-002,50-portfolio-carreira/01-portfolio,FS-POR-001,ativo
FS-POR-003,50-portfolio-carreira/02-linkedin,FS-POR-001,ativo
FS-POR-004,50-portfolio-carreira/03-github,FS-POR-001,ativo
FS-POR-005,50-portfolio-carreira/04-vagas,FS-POR-001,ativo
FS-POR-006,50-portfolio-carreira/05-case-studies,FS-POR-001,ativo
FS-POR-007,50-portfolio-carreira/06-tecnologia,FS-POR-001,ativo
FS-DAT-002,60-dados/00-inbox,FS-DAT-001,ativo
FS-DAT-003,60-dados/10-raw,FS-DAT-001,ativo
FS-DAT-004,60-dados/20-normalized,FS-DAT-001,ativo
FS-DAT-005,60-dados/30-clean,FS-DAT-001,ativo
FS-DAT-006,60-dados/40-canonical,FS-DAT-001,ativo
FS-DAT-007,60-dados/50-warehouse,FS-DAT-001,ativo
FS-DAT-008,60-dados/60-exports,FS-DAT-001,ativo
FS-DAT-009,60-dados/70-schemas,FS-DAT-001,ativo
FS-DAT-010,60-dados/90-evidence,FS-DAT-001,ativo
FS-OPS-002,70-operacao-governanca/01-planos-acao,FS-OPS-001,ativo
FS-OPS-003,70-operacao-governanca/02-workflows,FS-OPS-001,ativo
FS-OPS-004,70-operacao-governanca/03-tasks,FS-OPS-001,ativo
FS-OPS-005,70-operacao-governanca/04-bloqueantes,FS-OPS-001,ativo
FS-OPS-006,70-operacao-governanca/05-cronogramas,FS-OPS-001,ativo
FS-OPS-007,70-operacao-governanca/06-decisoes,FS-OPS-001,ativo
FS-OPS-008,70-operacao-governanca/07-riscos,FS-OPS-001,ativo
FS-OPS-009,70-operacao-governanca/08-stakeholders,FS-OPS-001,ativo
FS-OPS-010,70-operacao-governanca/09-evidence,FS-OPS-001,ativo
FS-OPS-011,70-operacao-governanca/10-sops,FS-OPS-001,ativo
FS-TEC-002,80-tecnologia-plataformas/01-github,FS-TEC-001,ativo
FS-TEC-003,80-tecnologia-plataformas/02-google-drive,FS-TEC-001,ativo
FS-TEC-004,80-tecnologia-plataformas/03-google-docs,FS-TEC-001,ativo
FS-TEC-005,80-tecnologia-plataformas/04-obsidian,FS-TEC-001,ativo
FS-TEC-006,80-tecnologia-plataformas/05-gpt,FS-TEC-001,ativo
FS-TEC-007,80-tecnologia-plataformas/06-vercel,FS-TEC-001,ativo
FS-TEC-008,80-tecnologia-plataformas/07-supabase,FS-TEC-001,ativo
FS-TEC-009,80-tecnologia-plataformas/08-buffer,FS-TEC-001,ativo
FS-TEC-010,80-tecnologia-plataformas/09-integrations,FS-TEC-001,ativo
FS-TEC-021,80-tecnologia-plataformas/05-gpt/01-prompts,FS-TEC-006,ativo
FS-TEC-022,80-tecnologia-plataformas/05-gpt/02-agents,FS-TEC-006,ativo
FS-TEC-023,80-tecnologia-plataformas/05-gpt/03-skills,FS-TEC-006,ativo
FS-TEC-029,80-tecnologia-plataformas/05-gpt/02-agents/maestro,FS-TEC-022,ativo
FS-TEC-030,80-tecnologia-plataformas/05-gpt/02-agents/maestro/config,FS-TEC-029,ativo
FS-TEC-031,80-tecnologia-plataformas/05-gpt/02-agents/maestro/orchestrator,FS-TEC-029,ativo
FS-TEC-032,80-tecnologia-plataformas/05-gpt/02-agents/maestro/proto,FS-TEC-029,ativo
FS-TEC-033,80-tecnologia-plataformas/05-gpt/02-agents/maestro/sql,FS-TEC-029,ativo
FS-TEC-034,80-tecnologia-plataformas/05-gpt/02-agents/maestro/scripts,FS-TEC-029,ativo
FS-TEC-035,80-tecnologia-plataformas/05-gpt/02-agents/maestro/runtime,FS-TEC-029,ativo
FS-TEC-036,80-tecnologia-plataformas/05-gpt/03-skills/anthropic-knowledge-work-plugins,FS-TEC-023,ativo
FS-AST-002,90-assets-compartilhados/01-brand,FS-AST-001,ativo
FS-AST-003,90-assets-compartilhados/02-design-system,FS-AST-001,ativo
FS-AST-004,90-assets-compartilhados/03-templates,FS-AST-001,ativo
